PULocationID,pred_trip_count
100,1841.4456
107,2015.3163
113,1790.1708
114,1761.6558
116,126.98725
125,617.9511
13,1252.9056
137,1547.1973
140,2003.1505
141,3238.4976
142,3712.3843
143,1371.2932
144,1530.3834
148,1339.5901
151,1032.688
152,86.37595
158,1560.8777
161,5354.2837
162,3643.3325
163,3271.8506
164,3034.8994
166,503.63947
170,3242.9878
186,3549.6428
202,14.138287
209,190.18483
211,1462.7233
224,186.09108
229,1949.5918
230,3741.2783
231,1754.0641
232,210.37877
233,1595.372
234,3230.2256
236,3727.91
237,5414.544
238,2001.5327
239,3425.1643
24,302.54025
246,1934.6338
249,2953.853
261,515.14606
262,1771.038
263,2013.1217
4,200.53091
41,346.69986
42,182.93234
43,1887.9193
45,180.87209
48,3123.4397
50,691.22516
68,3173.5967
74,306.56027
75,758.5281
79,3441.5747
87,1097.5374
90,1796.71
